Model,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression,0.9854083560781021,0.1686746987951807,0.9655172413793104,0.28717948717948716,0.9853928463798005
KNN,0.9980054587444888,0.6086956521739131,0.9655172413793104,0.7466666666666667,0.9824590705594871
SVM,0.9884526558891455,0.2,0.9310344827586207,0.32926829268292684,0.9571407304666083
Decision Tree,0.9985303380222549,0.7419354838709677,0.7931034482758621,0.7666666666666667,0.8961305385003613
